mother_id,age,state,rural_urban,education_level,marital_status,employment_status
M0040,25,Kebbi,Urban,Secondary,Single,Informal
M0041,28,Niger,Rural,Primary,Married,Informal
M0042,25,Akwa_Ibom,Urban,Secondary,Single,Informal
M0043,24,Delta,Urban,None,Single,Informal
M0044,23,Ekiti,Urban,Primary,Married,Unemployed
M0045,17,Anambra,Rural,Secondary,Single,Informal
M0046,21,Delta,Urban,Primary,Married,Formal
M0047,22,Bauchi,Rural,Tertiary,Married,Informal
M0048,30,Edo,Urban,Tertiary,Single,Informal
M0049,26,Lagos,Urban,Tertiary,Married,Informal
M0050,16,Imo,Rural,Secondary,Single,Informal
M0051,26,Jigawa,Urban,Tertiary,Married,Student
M0052,23,Cross_River,Rural,None,Married,Unemployed
M0053,21,Ebonyi,Urban,Tertiary,Married,Unemployed
M0054,28,Taraba,Rural,Tertiary,Married,Informal
M0055,30,Lagos,Urban,None,Married,Student
M0056,29,Kwara,Urban,None,Single,Informal
M0057,20,Benue,Urban,Primary,Married,Unemployed
M0058,23,Niger,Rural,None,Single,Informal
M0059,26,Benue,Urban,Secondary,Single,Formal
M0060,29,Jigawa,Rural,Secondary,Single,Informal
M0061,22,Zamfara,Rural,Primary,Married,Unemployed
M0062,24,Lagos,Urban,Primary,Married,Formal
M0063,19,Katsina,Urban,Secondary,Married,Informal
M0064,19,Nasarawa,Urban,Secondary,Married,Formal
M0065,29,Plateau,Urban,None,Married,Formal
M0066,31,Osun,Rural,None,Married,Student
M0067,24,Delta,Urban,Primary,Single,Formal
M0068,30,Adamawa,Urban,Secondary,Married,Informal
M0069,26,FCT,Urban,Secondary,Divorced,Student
M0070,21,Ebonyi,Urban,Tertiary,Married,Informal
M0071,26,Cross_River,Rural,Secondary,Widowed,Formal
M0072,32,Taraba,Rural,Tertiary,Married,Formal
M0073,24,Rivers,Rural,Primary,Married,Unemployed
M0074,32,FCT,Rural,Tertiary,Married,Student
M0075,15,Lagos,Rural,Tertiary,Married,Informal
M0076,29,Jigawa,Rural,Tertiary,Married,Informal
M0077,25,Sokoto,Urban,Primary,Single,Informal
M0078,23,Kano,Rural,Secondary,Single,Formal
M0079,25,Ebonyi,Rural,Secondary,Married,Informal
M0080,15,Delta,Rural,Primary,Single,Student
M0081,23,Katsina,Urban,Secondary,Married,Informal
M0082,26,Ebonyi,Urban,Secondary,Married,Informal
M0083,32,Kebbi,Urban,None,Married,Informal
M0084,22,Sokoto,Rural,Tertiary,Married,Formal
M0085,20,Jigawa,Rural,Tertiary,Married,Informal
M0086,22,Cross_River,Rural,Secondary,Married,Informal
M0087,29,Zamfara,Urban,Primary,Married,Informal
M0088,26,Kano,Rural,Primary,Married,Student
M0089,22,Anambra,Urban,None,Married,Student
M0090,27,Akwa_Ibom,Urban,Tertiary,Married,Informal
M0091,25,Bauchi,Urban,Primary,Married,Informal
M0092,29,Lagos,Urban,Tertiary,Married,Unemployed
M0093,21,Oyo,Rural,Primary,Married,Formal
M0094,23,Kaduna,Urban,Secondary,Married,Formal
M0095,23,Akwa_Ibom,Urban,Tertiary,Married,Informal
M0096,17,Jigawa,Urban,None,Married,Informal
M0097,26,Zamfara,Urban,Tertiary,Married,Formal
M0098,26,Katsina,Rural,Secondary,Married,Unemployed
M0099,25,Yobe,Urban,Secondary,Married,Unemployed
M0100,23,Plateau,Rural,Secondary,Married,Student
M0101,17,Abia,Urban,None,Married,Informal
M0102,22,Niger,Urban,Secondary,Married,Unemployed
M0103,23,Nasarawa,Rural,None,Married,Informal
M0104,20,Katsina,Urban,Primary,Married,Unemployed
M0105,24,Ebonyi,Urban,Secondary,Married,Informal
M0106,27,Lagos,Urban,Tertiary,Married,Formal
M0107,34,Bauchi,Rural,None,Married,Student
M0108,25,Kaduna,Rural,Primary,Married,Informal
M0109,26,Kano,Rural,Secondary,Single,Unemployed
M0110,24,Yobe,Urban,Secondary,Married,Informal
M0111,15,Rivers,Urban,Tertiary,Married,Formal
M0112,24,Ebonyi,Rural,Secondary,Married,Informal
M0113,25,Kano,Urban,None,Married,Informal
M0114,37,Borno,Rural,Primary,Married,Informal
M0115,24,Sokoto,Urban,Primary,Single,Informal
M0116,26,Rivers,Rural,Secondary,Married,Student
M0117,24,Enugu,Rural,None,Single,Unemployed
M0118,19,Lagos,Rural,Secondary,Single,Informal
M0119,30,Kwara,Rural,Secondary,Single,Informal
M0120,28,Benue,Rural,Secondary,Divorced,Informal
M0121,28,Ondo,Rural,None,Married,Informal
M0122,20,Katsina,Rural,Secondary,Single,Informal
M0123,32,Osun,Rural,Tertiary,Married,Informal
M0124,17,Katsina,Rural,Tertiary,Married,Informal
M0125,27,Abia,Urban,Tertiary,Married,Formal
M0126,35,Gombe,Urban,Tertiary,Single,Unemployed
M0127,20,Adamawa,Rural,Secondary,Married,Informal
M0128,22,Sokoto,Rural,Tertiary,Married,Student
M0129,25,Rivers,Rural,Secondary,Widowed,Unemployed
M0130,22,Oyo,Rural,Tertiary,Married,Informal
M0131,17,Enugu,Urban,Secondary,Married,Formal
M0132,25,Akwa_Ibom,Rural,Secondary,Married,Unemployed
M0133,19,Rivers,Rural,Tertiary,Married,Informal
M0134,27,Taraba,Rural,Tertiary,Single,Formal
M0135,20,Anambra,Urban,None,Married,Unemployed
M0136,32,Kano,Rural,None,Single,Unemployed
M0137,21,Akwa_Ibom,Rural,Secondary,Married,Informal
M0138,23,Ondo,Rural,Tertiary,Single,Informal
M0139,29,Ondo,Rural,Secondary,Married,Formal
M0140,18,Bauchi,Urban,Tertiary,Married,Student
M0141,26,Kano,Rural,Tertiary,Single,Formal
M0142,31,Katsina,Rural,Secondary,Married,Formal
M0143,16,Ebonyi,Rural,Secondary,Married,Informal
M0144,25,Rivers,Rural,Secondary,Divorced,Informal
M0145,26,Kaduna,Urban,Secondary,Single,Informal
M0146,28,Cross_River,Urban,Primary,Married,Formal
M0147,18,Katsina,Urban,Secondary,Married,Informal
M0148,18,Niger,Urban,Tertiary,Married,Student
M0149,27,Borno,Urban,Tertiary,Married,Formal
M0150,26,Enugu,Rural,None,Married,Unemployed
M0151,26,Zamfara,Urban,None,Married,Informal
M0152,26,Lagos,Urban,Tertiary,Single,Formal
M0153,21,Kaduna,Urban,Tertiary,Widowed,Student
M0154,26,Katsina,Urban,None,Married,Formal
M0155,26,Bauchi,Urban,Primary,Married,Student
M0156,21,Cross_River,Urban,Secondary,Married,Formal
M0157,34,Gombe,Rural,Secondary,Widowed,Informal
M0158,27,Kebbi,Rural,Secondary,Married,Informal
M0159,19,Delta,Urban,Secondary,Married,Informal
M0160,28,Cross_River,Urban,Secondary,Married,Unemployed
M0161,20,Anambra,Rural,Secondary,Single,Informal
M0162,28,Lagos,Rural,Tertiary,Married,Informal
M0163,30,Delta,Urban,Tertiary,Married,Formal
M0164,20,Sokoto,Urban,Secondary,Married,Informal
M0165,29,Plateau,Rural,None,Married,Informal
M0166,27,Anambra,Rural,Secondary,Married,Informal
M0167,29,Delta,Rural,Secondary,Married,Informal
M0168,34,Lagos,Urban,Primary,Married,Informal
M0169,23,Cross_River,Urban,Primary,Single,Informal
M0170,21,Bayelsa,Urban,Secondary,Married,Informal
M0171,20,Taraba,Rural,Secondary,Married,Formal
M0172,20,Kebbi,Urban,Secondary,Single,Student
M0173,24,Kano,Urban,Tertiary,Married,Formal
M0174,26,Osun,Urban,Secondary,Married,Informal
M0175,26,Oyo,Urban,Tertiary,Married,Student
M0176,29,Borno,Rural,Primary,Married,Informal
M0177,25,Bauchi,Rural,None,Married,Formal
M0178,32,Kaduna,Rural,Tertiary,Single,Informal
M0179,23,Kaduna,Rural,Primary,Married,Informal
M0180,38,Kano,Rural,Secondary,Married,Informal
M0181,28,Niger,Rural,Secondary,Single,Formal
M0182,20,Lagos,Urban,None,Single,Formal
M0183,19,Zamfara,Urban,Primary,Married,Informal
M0184,27,Bauchi,Rural,Tertiary,Married,Informal
M0185,23,Kaduna,Rural,Primary,Married,Unemployed
M0186,28,Imo,Urban,Tertiary,Single,Unemployed
M0187,27,Rivers,Urban,None,Married,Unemployed
M0188,24,Delta,Rural,Secondary,Single,Unemployed
M0189,20,Borno,Urban,None,Married,Informal
M0190,17,Kano,Urban,Secondary,Single,Informal
M0191,22,Kaduna,Urban,None,Single,Formal
M0192,29,Edo,Rural,None,Married,Informal
M0193,26,Delta,Rural,None,Single,Informal
M0194,18,Sokoto,Urban,Secondary,Married,Formal
M0195,25,Kaduna,Urban,Tertiary,Married,Informal
M0196,26,Rivers,Urban,Secondary,Married,Informal
M0197,20,Katsina,Rural,None,Widowed,Informal
M0198,25,Akwa_Ibom,Rural,Tertiary,Married,Informal
M0199,25,Zamfara,Urban,None,Married,Unemployed
M0200,19,Plateau,Urban,Tertiary,Married,Informal
M0201,26,Yobe,Urban,Primary,Married,Formal
M0202,27,Sokoto,Rural,Primary,Married,Unemployed
M0203,30,Plateau,Urban,Secondary,Married,Unemployed
M0204,30,Benue,Urban,Tertiary,Married,Informal
M0205,18,Kano,Rural,Secondary,Married,Formal
M0206,20,Cross_River,Urban,Tertiary,Single,Formal
M0207,27,Kaduna,Rural,Secondary,Single,Formal
M0208,27,Akwa_Ibom,Urban,Secondary,Married,Informal
M0209,27,Jigawa,Urban,None,Single,Formal
M0210,44,Zamfara,Rural,Secondary,Single,Informal
M0211,27,Ebonyi,Urban,Secondary,Married,Formal
M0212,30,Osun,Rural,Primary,Married,Formal
M0213,29,Kano,Urban,Secondary,Married,Informal
M0214,28,Kaduna,Urban,Secondary,Married,Student
M0215,23,Yobe,Rural,Tertiary,Married,Unemployed
M0216,28,Zamfara,Urban,Secondary,Married,Unemployed
M0217,21,Katsina,Rural,Secondary,Widowed,Student
M0218,23,Niger,Rural,Tertiary,Married,Informal
M0219,22,Benue,Urban,None,Married,Informal
M0220,25,Enugu,Urban,Secondary,Married,Informal
M0221,36,Yobe,Rural,Tertiary,Married,Informal
M0222,15,Kebbi,Rural,Secondary,Married,Informal
M0223,28,Katsina,Urban,Secondary,Married,Informal
M0224,16,Ogun,Rural,Secondary,Divorced,Informal
M0225,22,Akwa_Ibom,Urban,Secondary,Married,Informal
M0226,30,Kebbi,Urban,Tertiary,Married,Student
M0227,25,Kano,Urban,Secondary,Married,Informal
M0228,19,Plateau,Urban,Primary,Single,Unemployed
M0229,21,Benue,Rural,None,Married,Formal
M0230,28,Yobe,Rural,Tertiary,Married,Unemployed
M0231,21,Anambra,Rural,Tertiary,Married,Unemployed
M0232,26,Borno,Urban,None,Married,Student
M0233,25,Kogi,Rural,Secondary,Married,Informal
M0234,21,Lagos,Urban,Tertiary,Married,Student
M0235,35,Delta,Rural,Secondary,Married,Informal
M0236,28,Bauchi,Urban,Tertiary,Married,Informal
M0237,15,Rivers,Rural,Secondary,Married,Informal
M0238,25,Delta,Urban,Secondary,Single,Informal
M0239,21,Kogi,Urban,Secondary,Married,Informal
M0240,29,Kwara,Rural,Primary,Married,Informal
M0241,21,Kaduna,Urban,Tertiary,Married,Informal
M0242,24,Kebbi,Rural,None,Married,Informal
M0243,27,Katsina,Urban,Tertiary,Divorced,Student
M0244,29,Taraba,Rural,Secondary,Married,Formal
M0245,18,Borno,Rural,Tertiary,Married,Informal
M0246,23,Niger,Rural,None,Married,Informal
M0247,22,Delta,Urban,None,Married,Unemployed
M0248,21,Jigawa,Rural,Tertiary,Divorced,Unemployed
M0249,33,Lagos,Rural,Primary,Single,Student
M0250,27,Enugu,Rural,Secondary,Married,Informal
M0251,18,FCT,Rural,Secondary,Married,Informal
M0252,29,Ogun,Urban,Secondary,Married,Student
M0253,35,Anambra,Rural,Secondary,Married,Formal
M0254,30,Kano,Urban,Tertiary,Married,Formal
M0255,17,Zamfara,Urban,Tertiary,Single,Informal
M0256,22,Zamfara,Rural,Secondary,Married,Informal
M0257,31,Anambra,Urban,None,Married,Formal
M0258,21,Cross_River,Urban,Secondary,Married,Informal
M0259,27,Ebonyi,Rural,Secondary,Married,Unemployed
M0260,28,Taraba,Urban,Secondary,Married,Informal
M0261,20,Rivers,Rural,Primary,Married,Formal
M0262,24,Rivers,Rural,Tertiary,Married,Unemployed
M0263,15,Jigawa,Rural,Primary,Married,Informal
M0264,19,Benue,Rural,Primary,Married,Formal
M0265,23,Oyo,Urban,Primary,Married,Informal
M0266,18,Niger,Urban,Tertiary,Married,Informal
M0267,33,Kwara,Rural,Secondary,Married,Formal
M0268,17,Zamfara,Rural,Secondary,Married,Informal
M0269,22,Lagos,Rural,Tertiary,Married,Unemployed
M0270,25,Abia,Urban,None,Married,Formal
M0271,32,Oyo,Urban,Primary,Married,Informal
M0272,17,Enugu,Rural,Tertiary,Single,Informal
M0273,30,Lagos,Urban,Tertiary,Married,Informal
M0274,25,Taraba,Urban,Secondary,Married,Formal
M0275,20,Bayelsa,Rural,Secondary,Married,Informal
M0276,27,Bauchi,Rural,Secondary,Married,Unemployed
M0277,25,Bauchi,Rural,Tertiary,Married,Informal
M0278,21,Katsina,Urban,Secondary,Married,Informal
M0279,25,Edo,Rural,Secondary,Married,Formal
M0280,23,Kogi,Rural,Secondary,Widowed,Unemployed
M0281,25,Niger,Urban,Secondary,Married,Informal
M0282,28,Borno,Rural,Secondary,Married,Student
M0283,32,Lagos,Urban,Tertiary,Married,Informal
M0284,18,Ebonyi,Rural,None,Married,Informal
M0285,35,Kano,Rural,Secondary,Married,Informal
M0286,15,Sokoto,Urban,Tertiary,Single,Student
M0287,24,Plateau,Urban,Secondary,Married,Informal
M0288,27,Anambra,Rural,Secondary,Married,Formal
M0289,26,Kaduna,Rural,None,Married,Formal
M0290,21,Edo,Urban,Primary,Married,Informal
M0291,23,Abia,Urban,Primary,Married,Informal
M0292,22,Ondo,Rural,Secondary,Married,Unemployed
M0293,22,Lagos,Rural,None,Married,Formal
M0294,29,Ebonyi,Rural,Secondary,Married,Informal
M0295,26,Ogun,Urban,Tertiary,Married,Formal
M0296,21,Katsina,Urban,Secondary,Single,Informal
M0297,29,Kaduna,Urban,Secondary,Single,Student
M0298,26,Abia,Rural,Tertiary,Married,Formal
M0299,29,Anambra,Urban,Tertiary,Married,Unemployed
M0300,28,Rivers,Rural,Tertiary,Married,Formal
M0301,20,Sokoto,Urban,None,Married,Student
M0302,22,Katsina,Rural,None,Single,Informal
M0303,28,Oyo,Urban,Primary,Married,Unemployed
M0304,28,Kebbi,Urban,Secondary,Married,Informal
M0305,24,Benue,Urban,Tertiary,Married,Informal
M0306,25,Bauchi,Rural,Tertiary,Married,Unemployed
M0307,31,Enugu,Rural,None,Married,Formal
M0308,22,Sokoto,Urban,None,Married,Informal
M0309,27,Oyo,Rural,Secondary,Married,Informal
M0310,23,Plateau,Urban,Secondary,Married,Informal
M0311,23,Sokoto,Urban,Tertiary,Married,Informal
M0312,30,Cross_River,Urban,None,Widowed,Unemployed
M0313,29,Delta,Urban,Tertiary,Married,Unemployed
M0314,29,Bauchi,Rural,Tertiary,Married,Informal
M0315,31,Osun,Rural,Tertiary,Widowed,Informal
M0316,25,Rivers,Urban,Secondary,Married,Unemployed
M0317,28,Kaduna,Rural,Secondary,Married,Informal
M0318,23,Kwara,Rural,Secondary,Married,Informal
M0319,26,Benue,Urban,Tertiary,Married,Formal
M0320,24,Sokoto,Urban,None,Married,Unemployed
M0321,25,Rivers,Rural,Tertiary,Single,Student
M0322,27,Zamfara,Urban,Tertiary,Married,Informal
M0323,20,Oyo,Urban,Secondary,Married,Formal
M0324,35,Rivers,Rural,Secondary,Married,Informal
M0325,19,Adamawa,Rural,Tertiary,Single,Unemployed
M0326,18,Ogun,Rural,None,Married,Formal
M0327,30,Gombe,Urban,Tertiary,Married,Formal
M0328,28,Taraba,Rural,Secondary,Married,Unemployed
M0329,28,Oyo,Urban,Secondary,Married,Formal
M0330,28,Rivers,Rural,Secondary,Married,Unemployed
M0331,24,Oyo,Urban,Secondary,Married,Student
M0332,20,Ebonyi,Rural,Tertiary,Married,Informal
M0333,25,Osun,Urban,Primary,Married,Informal
M0334,21,Bauchi,Urban,Secondary,Married,Formal
M0335,29,Rivers,Rural,None,Married,Informal
M0336,24,Plateau,Rural,Primary,Married,Formal
M0337,20,Cross_River,Urban,Tertiary,Married,Informal
M0338,23,Oyo,Urban,Tertiary,Married,Unemployed
M0339,27,Kano,Urban,Tertiary,Single,Informal
M0340,22,Enugu,Urban,None,Married,Informal
M0341,20,Oyo,Rural,Tertiary,Single,Unemployed
M0342,26,Delta,Rural,Secondary,Married,Informal
M0343,26,Adamawa,Rural,Secondary,Married,Informal
M0344,22,Borno,Rural,Secondary,Married,Informal
M0345,22,Gombe,Urban,Secondary,Married,Formal
M0346,26,Rivers,Urban,Secondary,Married,Formal
M0347,17,Yobe,Urban,Secondary,Married,Formal
M0348,17,Edo,Rural,Secondary,Married,Informal
M0349,21,Lagos,Rural,Tertiary,Married,Unemployed
M0350,23,Jigawa,Urban,None,Single,Informal
M0351,26,Zamfara,Urban,Primary,Married,Informal
M0352,32,Katsina,Rural,Secondary,Married,Informal
M0353,29,Taraba,Rural,Secondary,Single,Informal
M0354,24,Bauchi,Rural,Tertiary,Married,Formal
M0355,24,Yobe,Urban,Secondary,Married,Unemployed
M0356,19,Borno,Rural,Tertiary,Married,Informal
M0357,24,Yobe,Rural,Secondary,Married,Formal
M0358,23,Ebonyi,Rural,Secondary,Married,Student
M0359,26,Bauchi,Urban,Secondary,Married,Informal
M0360,20,Kaduna,Rural,Primary,Single,Formal
M0361,27,Niger,Rural,None,Married,Student
M0362,32,FCT,Urban,Tertiary,Married,Informal
M0363,24,Kogi,Rural,Tertiary,Married,Unemployed
M0364,27,Kano,Urban,Tertiary,Widowed,Informal
M0365,28,Jigawa,Rural,Primary,Married,Formal
M0366,22,Kebbi,Urban,Secondary,Married,Formal
M0367,26,Ebonyi,Urban,Secondary,Single,Unemployed
M0368,25,Niger,Rural,Secondary,Married,Informal
M0369,25,Abia,Rural,None,Single,Student
M0370,21,Sokoto,Rural,Primary,Married,Formal
M0371,25,Katsina,Urban,None,Single,Informal
M0372,27,Niger,Rural,Primary,Married,Informal
M0373,32,Ogun,Rural,Secondary,Single,Informal
M0374,29,Lagos,Urban,Tertiary,Married,Unemployed
M0375,35,Imo,Urban,Primary,Married,Unemployed
M0376,21,Anambra,Rural,Tertiary,Married,Formal
M0377,29,Lagos,Rural,Tertiary,Married,Unemployed
M0378,25,Gombe,Urban,Tertiary,Married,Unemployed
M0379,35,FCT,Rural,Tertiary,Single,Informal
M0380,20,Plateau,Urban,Secondary,Married,Formal
M0381,20,Niger,Rural,None,Married,Informal
M0382,22,Enugu,Urban,Primary,Married,Informal
M0383,15,Enugu,Urban,Tertiary,Single,Informal
M0384,22,Kaduna,Rural,Tertiary,Married,Informal
M0385,21,Kaduna,Rural,None,Single,Formal
M0386,25,Enugu,Rural,Tertiary,Married,Informal
M0387,26,Bauchi,Rural,Tertiary,Widowed,Formal
M0388,34,Kaduna,Urban,Secondary,Married,Student
M0389,29,Taraba,Urban,Tertiary,Single,Informal
M0390,22,Lagos,Urban,None,Married,Informal
M0391,20,Sokoto,Rural,Tertiary,Married,Informal
M0392,27,Kwara,Urban,None,Married,Formal
M0393,18,Enugu,Rural,Primary,Married,Unemployed
M0394,34,Katsina,Rural,Tertiary,Married,Informal
M0395,30,Abia,Urban,Secondary,Married,Informal
M0396,22,Edo,Rural,Tertiary,Single,Informal
M0397,16,Kaduna,Urban,Secondary,Single,Formal
M0398,31,Kebbi,Rural,Tertiary,Married,Informal
M0399,24,Lagos,Urban,Primary,Married,Informal
M0400,31,Kano,Urban,None,Married,Informal
M0401,17,Kaduna,Urban,Tertiary,Married,Informal
M0402,22,Cross_River,Rural,Tertiary,Married,Unemployed
M0403,25,Kano,Urban,Secondary,Married,Informal
M0404,25,Sokoto,Urban,Secondary,Widowed,Informal
M0405,22,Oyo,Urban,Primary,Single,Informal
M0406,28,Benue,Rural,Tertiary,Married,Informal
M0407,19,Anambra,Urban,Tertiary,Married,Unemployed
M0408,24,Katsina,Urban,Tertiary,Married,Informal
M0409,25,Lagos,Rural,None,Married,Informal
M0410,27,Gombe,Rural,Secondary,Married,Informal
M0411,28,Oyo,Rural,None,Single,Student
M0412,19,Ogun,Urban,Tertiary,Married,Student
M0413,17,Lagos,Rural,Tertiary,Married,Informal
M0414,31,Cross_River,Urban,Secondary,Married,Informal
M0415,26,Borno,Urban,Secondary,Married,Informal
M0416,21,Adamawa,Urban,Primary,Married,Informal
M0417,32,Delta,Urban,Secondary,Married,Informal
M0418,25,Kano,Rural,Secondary,Married,Student
M0419,30,Plateau,Rural,Tertiary,Single,Formal
M0420,25,Anambra,Urban,Tertiary,Married,Formal
M0421,35,Kaduna,Rural,Secondary,Married,Informal
M0422,33,Lagos,Urban,Tertiary,Married,Student
M0423,23,Borno,Urban,Secondary,Married,Formal
M0424,29,Niger,Urban,Tertiary,Married,Informal
M0425,28,Kano,Rural,Tertiary,Married,Informal
M0426,31,Delta,Rural,Secondary,Married,Unemployed
M0427,20,Lagos,Rural,Tertiary,Married,Student
M0428,28,Abia,Rural,Secondary,Married,Informal
M0429,30,Ogun,Rural,Tertiary,Single,Unemployed
M0430,16,Ondo,Rural,None,Married,Informal
M0431,19,Bauchi,Rural,Secondary,Married,Informal
M0432,15,Kaduna,Rural,None,Married,Informal
M0433,23,Borno,Rural,None,Married,Informal
M0434,28,Yobe,Urban,Secondary,Married,Formal
M0435,32,Katsina,Urban,Tertiary,Married,Unemployed
M0436,25,Akwa_Ibom,Urban,Secondary,Married,Formal
M0437,33,Delta,Urban,Primary,Married,Unemployed
M0438,18,Plateau,Urban,Primary,Married,Informal
M0439,16,Kano,Urban,Tertiary,Single,Formal
M0440,24,Oyo,Rural,Tertiary,Single,Informal
M0441,26,Lagos,Urban,Primary,Married,Informal
M0442,24,Zamfara,Rural,Primary,Single,Informal
M0443,15,Kogi,Urban,Tertiary,Married,Student
M0444,24,Yobe,Urban,Tertiary,Married,Unemployed
M0445,18,Rivers,Urban,Tertiary,Married,Informal
M0446,28,Kwara,Urban,Tertiary,Single,Informal
M0447,26,Niger,Urban,None,Married,Informal
M0448,20,Kano,Urban,None,Widowed,Informal
M0449,22,Oyo,Rural,Secondary,Married,Informal
M0450,19,Katsina,Rural,Primary,Single,Informal
M0451,24,Sokoto,Urban,Primary,Married,Informal
M0452,29,Ogun,Urban,Secondary,Married,Formal
M0453,20,Kano,Urban,Primary,Married,Informal
M0454,27,Ebonyi,Rural,Secondary,Widowed,Student
M0455,22,Delta,Rural,Secondary,Married,Informal
M0456,21,Lagos,Urban,Secondary,Married,Informal
M0457,24,Ondo,Urban,Secondary,Married,Informal
M0458,19,Katsina,Rural,Secondary,Married,Formal
M0459,22,Lagos,Rural,Primary,Married,Unemployed
M0460,19,Edo,Rural,Secondary,Single,Informal
M0461,34,Anambra,Urban,Primary,Married,Informal
M0462,25,Edo,Rural,Primary,Married,Student
M0463,21,Edo,Rural,Secondary,Married,Informal
M0464,26,FCT,Rural,Tertiary,Married,Formal
M0465,24,Katsina,Urban,Secondary,Married,Informal
M0466,23,Bayelsa,Rural,Secondary,Married,Informal
M0467,28,Delta,Rural,Secondary,Married,Informal
M0468,28,Nasarawa,Rural,None,Married,Unemployed
M0469,22,Niger,Urban,None,Married,Informal
M0470,22,Akwa_Ibom,Urban,Tertiary,Single,Informal
M0471,23,Kaduna,Rural,Tertiary,Married,Informal
M0472,15,Katsina,Rural,Primary,Single,Informal
M0473,17,Kaduna,Rural,Tertiary,Married,Informal
M0474,31,Borno,Urban,Secondary,Married,Informal
M0475,33,Kaduna,Rural,Secondary,Married,Unemployed
M0476,23,Sokoto,Urban,None,Married,Informal
M0477,27,Kebbi,Urban,Secondary,Single,Student
M0478,26,Nasarawa,Urban,Secondary,Single,Formal
M0479,40,Plateau,Rural,None,Married,Informal
M0480,30,Ondo,Rural,Secondary,Married,Unemployed
M0481,24,Jigawa,Urban,Tertiary,Married,Informal
M0482,20,Abia,Rural,Tertiary,Married,Informal
M0483,16,Imo,Rural,Secondary,Married,Informal
M0484,26,Ogun,Urban,Tertiary,Married,Formal
M0485,21,Plateau,Rural,Secondary,Married,Informal
M0486,17,Yobe,Urban,Secondary,Married,Informal
M0487,21,Kaduna,Urban,Primary,Married,Informal
M0488,19,Ogun,Urban,Primary,Married,Formal
M0489,33,Katsina,Rural,Secondary,Married,Informal
M0490,29,Kogi,Urban,Tertiary,Married,Informal
M0491,24,Cross_River,Urban,Tertiary,Married,Informal
M0492,32,Cross_River,Urban,None,Married,Informal
M0493,25,Kaduna,Urban,Tertiary,Married,Formal
M0494,20,Adamawa,Urban,Primary,Married,Formal
M0495,32,Gombe,Rural,Secondary,Married,Unemployed
M0496,27,Nasarawa,Rural,Secondary,Married,Informal
M0497,19,Kaduna,Urban,Secondary,Widowed,Informal
M0498,24,Benue,Urban,Secondary,Married,Unemployed
M0499,20,Kano,Urban,Tertiary,Married,Student
M0500,18,Bauchi,Urban,Primary,Married,Informal
M0501,29,Kwara,Rural,Tertiary,Married,Formal
M0502,34,Adamawa,Urban,Secondary,Married,Formal
M0503,18,Jigawa,Urban,Tertiary,Married,Informal
M0504,27,Katsina,Rural,Secondary,Widowed,Informal
M0505,21,Adamawa,Urban,Secondary,Single,Formal
M0506,22,Lagos,Urban,Secondary,Widowed,Informal
M0507,22,Bayelsa,Rural,Primary,Single,Unemployed
M0508,20,Kano,Urban,Primary,Married,Informal
M0509,25,Akwa_Ibom,Rural,Secondary,Married,Unemployed
M0510,20,Jigawa,Urban,Tertiary,Married,Informal
M0511,26,Cross_River,Urban,Secondary,Single,Unemployed
